tokens,LOC,ORG,PER,sentiment,neutral,positive
bbb in z bbb,0,1,0,2,0,0
pa biti ohraniti aaa belgija,0,1,0,3,1,-1
nemčija aaa aa estonija aa,0,1,0,3,1,-1
belgija aa aa,0,1,0,3,1,-1
aa aaa irska,0,1,0,3,1,-1
finski aaa bbb,0,1,0,3,1,-1
bbb aaa in nizozemski,0,1,0,3,1,-1
luksemburg aaa in aaa,0,1,0,3,1,-1
v lanski let ever izguba ljubljanski banka pa ever izguba ljubljanski banka jesti 202 milijon ljubljanski banka jesti za globok izguba ostajati velik prirasti hčerinski družba jesti lani prodati da jesti kljub izguba dober količnik kapitalski ustreznost pa jesti oceniti država dokapitalizacija v višina 320 iskanje partner za ključen nalog,0,1,0,2,0,0
likviden fota bilančen vsota skupina dokapitalizacija spremljati na facebook in,0,1,0,3,1,-1
jesti jašovič omeniti ifc,0,1,0,4,0,1
omeniti ebrd kbc in,0,1,0,4,0,1
ifc in država,0,1,0,4,0,1
kot jesti ocena organ za bančen jašovič ocen namreč po jašovičev,0,1,0,3,1,-1
spremljati na in twitter,0,1,0,3,1,-1
na facebook in,0,1,0,3,1,-1
preverjati makroekonomski stanje kota pravi na obisk v preveriti njen makroekonomski analiza stanje v biti po navedba da jesti biti v poročilo izpostavljen proizvod v se namreč po ukrep biti v potreben jesti šušteršič poleg jesti komisija izpostaviti,0,1,0,3,1,-1
pred kriza šušteršič evropski komisija jesti dejati pojasnilo jesti jesti pojasnilo poleg slovenija,0,0,1,3,1,-1
potrebovati nekateri članica razlog za še enajst članica kateri po,0,1,0,3,1,-1
t biti bolgarija,1,0,0,2,0,0
biti belgija ciper,1,0,0,2,0,0
bolgarija danska,1,0,0,2,0,0
ciper finski,1,0,0,2,0,0
danska francija,1,0,0,2,0,0
finski italija,1,0,0,2,0,0
francija madžarski,1,0,0,2,0,0
italija španija,1,0,0,2,0,0
madžarski švedska in,1,0,0,2,0,0
španija in velik britanija,1,0,0,2,0,0
švedska in britanija,0,1,0,2,0,0
različen lokacija po jesti razviden,1,0,0,3,1,-1
biti opraviti družba in cenis,0,1,0,3,1,-1
družba lasting in jesti nekaj,0,1,0,3,1,-1
cona risnik v izhodiščen vrednost za,1,0,0,3,1,-1
naselje oltra v izhodiščen cena posamezen nov gorica ilirski bistrica,1,0,0,3,1,-1
soseska kresnica v za celota,1,0,0,3,1,-1
hiša bizovik v skupen milijon kranj in kromberek po,1,0,0,3,1,-1
kompleks brinja v skupen milijon,1,0,0,3,1,-1
ever in stanovanje livada skupen,0,1,0,3,1,-1
zemljišče biti zemljišče milijon ever,1,0,0,3,1,-1
zemljišče v milijon ever,1,0,0,3,1,-1
milijon ever na jesenice,1,0,0,3,1,-1
javornik na ever,1,0,0,3,1,-1
zemljišče pred miren ever,0,1,0,3,1,-1
ever ob v kromberek 9700,0,1,0,3,1,-1
ob meblo v 9700 ever ljubljana in po izhodiščen cena,1,0,0,3,1,-1
cona lucija v milijon ever,1,0,0,3,1,-1
ever ob ulica v nov,1,0,0,3,1,-1
prvomajski ulica v gorica milijon,1,0,0,3,1,-1
z objekt na ulica v postojna,1,0,0,3,1,-1
cankarjev ulica v ever orlov polica v ever in biti objekt v nov gorica koper bohinj,1,0,0,3,1,-1
ever zemljišče polica v postojna,1,0,0,3,1,-1
ever in zemljišče pot za stanovanjski,1,0,0,3,1,-1
stanovanjski gradnja v bistrica ever ankaran bistrica koper,1,0,0,3,1,-1
v postojna gorica ankaran,1,0,0,3,1,-1
ilirski bistrica postojna,1,0,0,3,1,-1
postojna trenta,1,0,0,3,1,-1
bohinj kranj,1,0,0,3,1,-1
trenta ljubljana in,1,0,0,3,1,-1
plačilo fota prodajalec lahek v,0,1,0,3,1,-1
biti na nasproten korak delničar slovenija biti na delničar telek biti na skupščina telekomunikacijski operater v ki jesti državen last biti iti v da se o v javnost govor biti povzročiti škoda gled že da biti s kot naročnik sodelovati posledičen nastal škoda sidorovič on,0,1,0,2,0,0
na nasproten predlog in sod na nasproten predlog in sod,0,1,0,3,1,-1
predlog kad in ki biti predlog kad in ki biti,0,1,0,3,1,-1
uprava pod vodstvo kranjčević ne nasproten kot predsednik uprava slovenija kranjčević sprejet predsednik uprava telek kranjčević sprejet sklep uprava telek slovenija sprejet sklep pozdravljati kota jesti povedati biti namreč takšen dogodek prenos nadaljevanje postopek,0,0,1,3,1,-1
z nakup makedonski jesti dejati,0,1,0,3,1,-1
član njegov uprava mitikati in filip,0,0,1,3,1,-1
dušan mitikati in ogris martič,0,0,1,3,1,-1
nekdanji uprava sidorovič jesti v fota thinkstocka jesti še dejati škoda telekdo on jesti odgovoriti,0,0,1,2,0,0
škoda fota sidorovič jesti še,0,1,0,3,1,-1
tokraten skupščina grahek iz družba,0,0,1,3,1,-1
upravljanje predsednik združenje mali delničar mali delničar vzmd verbič pa jesti,0,1,0,3,1,-1
jesti vnovič ustanovitelj bill gat vnovič ustanovitelj microsoft gat njegov,0,1,0,3,1,-1
šef podjetje oracti ellison na,0,0,1,4,0,1
prebiti tajkun iz l k tajkun iz hongkong k šing,1,0,0,3,1,-1
dolar jesti pridobiti s prodaja,0,0,1,4,0,1
velik obdavčitev v britanija in tudi,1,0,0,3,1,-1
dolar spremljati na facebook in,0,1,0,3,1,-1
spremljati na in twitter,0,1,0,3,1,-1
na facebook in,0,1,0,3,1,-1
in sindikat v ter ajdovski župan oba propad biti po ocena ker jesti edin preostal velik biti nato dokapitalizirati država biti prodati saj po njegov ocena oba propad biti nastal velik človek delavec v biti apatičen predsednik sindikat v nikol janev in finančen sredstvo imeti dober zaposlen da biti stečaj v ajdovščina neposreden ukrep za sanacija v višina 55 razlastitev sedanji lastnikov ter sodelovanje država država pri dokapitalizacija ministrstvo za odločiti o vloga za sodelovanje država sredstvo za reševanje jesti ponoviti tudi govoriti o podpora,0,1,0,2,0,0
država dodajati in sicer jesti dejati s političen,0,0,1,4,0,1
projekt v delavec gradben dejavnost delavec gradben dejavnost pri zveza svoboden,0,1,0,3,1,-1
da biti lahek družba kad dokapitalizirati,0,1,0,3,1,-1
on tudi slovenski nkbm,0,1,0,3,1,-1
slovenski nlb abanka in,0,1,0,3,1,-1
nkbm in gorenjska banka,0,1,0,3,1,-1
abanka in banka ne,0,1,0,3,1,-1
primorje predsednik dušan semolič jesti predsednik zsss semolič jesti izpostaviti,0,1,0,3,1,-1
stečaj primor v neposreden in posreden,1,0,0,3,1,-1
politik fota žibert žerjava država,0,0,1,3,1,-1
dokapitalizacija primor za gospodarski razvoj,0,1,0,3,1,-1
komentirati pa in dnevnik pisati,0,1,0,3,1,-1
pa del in pisati da,0,1,0,3,1,-1
pogodba o delovanje urad do pogodba o delovanje jesti 9,0,1,0,3,1,-1
še pod vodstvo sorški jesti,0,0,1,3,1,-1
gradnja avtocesta v postopek uvesti zoper,1,0,0,3,1,-1
zoper gradben podjetje primorje pa še zoper holding primorje stečaj znajti tak kot vegrada,0,1,0,2,0,0
podjetje sct vegrada sct holding holding in cesten grosuplje ajdovski jesti na rob,0,1,0,2,0,0
primorje cesten podjetje tak sct kot cesten podjetje,0,1,0,2,0,0
vegrada podjetje maribor cesten podjetje cesten podjetje kot vegrada podjetje maribor in cesten podjetje in gradben podjetje,0,1,0,2,0,0
podjetje maribor podjetje ljubljana in cesten podjetje in gradben podjetje,0,1,0,2,0,0
podjetje ljubljana in podjetje grosuplje in gradben podjetje 2 podjetje maribor in podjetje grosuplje in gradben podjetje ajdovski primorje,0,1,0,2,0,0
april 2010 zoper zidar 14,0,1,0,2,0,0
junij 2010 zoper gradben podjetje nov cesten gradben podjetje mesto gradis,0,1,0,2,0,0
nov mesto skupina g,0,1,0,2,0,0
skupina g gradben industrijski podjetje,0,1,0,2,0,0
v likvidacija in pomgrad 4,0,1,0,3,1,-1
alpina ba podjetje koper cesten podjetje cesten podjetje,0,1,0,2,0,0
podjetje koper podjetje ptuj in cesten podjetje in cesten podjetje,0,1,0,2,0,0
podjetje ptuj in podjetje kranj in cesten podjetje 28 primorje holding in podjetje kranj in cesten podjetje družba za,0,1,0,2,0,0
cesta fota kati biti zagrešiti,0,1,0,3,1,-1
medtem ko jesti že oda let,0,1,0,2,0,0
uporabnik posloven komplet slovenija biti posloven komplet telek biti spregovoriti uporabnik posloven komplet slovenija biti posloven komplet telek biti spregovoriti on uporabnik nuditi slovenija fota uporabnik nuditi telek fota arhiv,0,1,0,4,0,1
jerneja martinčič martinčič martinčič vinarstvo vinarstvo martinčič,0,1,0,3,1,-1
vzet čas petek frizerstvo,0,0,1,3,1,-1
ključen pomen rudolfa tipski,0,0,1,3,1,-1
fota arhiv naročnik in rafka ficka,0,0,1,3,1,-1
rafka ficka ficka ficka avtoservis avtoservis ficka,0,1,0,3,1,-1
nekaj sreča osvojiti galaxy tab,0,1,0,3,1,-1
podjetje pateri iz s 30 milijon v italijanski dogovoriti o dokapitalizacija,1,0,0,3,1,-1
podjetje pa sestavljati činča sebastian ki on sestavljati činča sebastian,0,0,1,4,0,1
štefan činča trajkovski in darko štefan činča trajkovski in darko,0,0,1,4,0,1
sebastian trajkovski in valenčič primorje sebastian trajkovski in valenčič primorje,0,0,1,4,0,1
n zahteva delničar holding jesti potekati zahteva delničar primorje jesti potekati skupščina darko valenčič holding ki valenčič primorje ki jesti odstoten lastnik družba icona,0,1,0,4,0,1
nekdanji prvi mož dušan črnigoj prvi mož primor črnigoj jesti,0,1,0,3,1,-1
trgovski center v lastnik družba,1,0,0,3,1,-1
capital group iz in njen regionalen,1,0,0,3,1,-1
na območje jugovzhoden iz ajdovski,1,0,0,3,1,-1
upirati dodaten regulacija streiti ien jesti pomagalo povzročiti street s podoben,0,1,0,3,1,-1
bruno iksiti biti zaradi velikanski,0,1,0,2,0,0
demokratski senator iz carel levina biti senator iz michigan levina biti ta abc podoben kot za nbc dejati,1,0,0,3,1,-1
po nekdanji predsednik reserva paulo volcker predsednik federal reserva volcker dimona,0,1,0,3,1,-1
demokratski kongresnik iz barney franka pa kongresnik iz massachusetts franka pa jesti,1,0,0,3,1,-1
kot levina za dejati da,0,1,0,3,1,-1
tak mena direktor za srednji in mena direktor ebrd srednji in vzhoden srednji in vzhoden gled nlb mena direktor za srednji in mena direktor ebrd srednji in jugovzhoden srednji in jugovzhoden jean marce peterschmitti in jugovzhoden evropa marce peterschmitti kota jesti dejati se morati kot jesti dejati še prezgodaj,0,1,0,3,1,-1
glaven ekonomist pri pa opozarjati gled kapitalski vstop v nlb pa obnova in razvoj pozdravljati skrben pregled tudi na projekcija ki slovenija slovenija jesti oda dobiti nizek ocena odziv na ocena povedati finančen minister,0,1,0,3,1,-1
da jesti en izmed država vlagatelj v biti vodje operacija da vlagatelj v biti ker navzdol v pa ta biti da mora kmalu premagati trenuten biti razmera v še poslabšati ebrd ki za letos napovedovati odstotek jesti en izmed prilagoditi se biti jesti oda ebrd,1,0,0,2,0,0
zat v banka za obnova,0,1,0,3,1,-1
tečaj podjetje na borza jesti,0,1,0,3,1,-1
trije država poleg in hrvaški,1,0,0,2,0,0
poleg madžarski in ki se,1,0,0,2,0,0
pra ta prednjač s svoj dolžniški,1,0,0,2,0,0
ki on priprava za makroekonomski analiza,0,1,0,3,1,-1
in sicer lebar in darjati,0,0,1,3,1,-1
vid lebar in petriči ki,0,0,1,3,1,-1
po nasproten predlog imenovan keith miles,0,1,0,3,1,-1
predlog sod imenovan miles z inštitut,0,0,1,4,0,1
keith miles z za ekonomski zadeva,0,1,0,3,1,-1
ekonomski zadeva v andreja fatura,1,0,0,3,1,-1
v london fatura petra,0,0,1,4,0,1
andreja fatura kukavica egon,0,0,1,4,0,1
petra kukavica žižmond petra,0,0,1,4,0,1
egon žižmond kavčič nika,0,0,1,4,0,1
petra kavčič samec predsednica,0,0,1,4,0,1
predsednica uprava nogavica polzela karmen tovarna nogavica polzela dvorjak mih,0,1,0,4,0,1
karmen dvorjak glavič in nekdanji,0,0,1,4,0,1
župan franc kangler jurenec skupščina,0,0,1,2,0,0
z dokapitalizacija predlagati za upravljanje kapitalski,0,1,0,3,1,-1
velik državen banka hauca jesti jesti dejati t pa mož banka biti želeti komentirati,0,0,1,4,0,1
makroekonomski okolje v povedati biti,1,0,0,3,1,-1
voditi biti on kovačič in andreja,0,0,1,2,0,0
dokapitalizacija nlb in sprejet noveti v nlb in krediten banka maribor nov krediten banka nkbm prenesti z krediten banka maribor prenesti z agencija,0,1,0,2,0,0
sedem odstotek jesti sprejeti novel janez šušteršič jesti novel zakon,0,1,0,4,0,1
pravočasen izpolniti zahteva bančen agencija eba avtomatski mehanizem pa ta obveznica priznavati,0,1,0,3,1,-1
nkbm prenesti z za upravljanje kapitalski upravljanje kapitalski naložba aukn na vlada kapitalski naložba rs na vlada,0,1,0,3,1,-1
v razprava zatrdilo država jesti jesti povedati p njegov predstavitev predlog povedati v primer kapital banka šušteršič jesti prepričan jesti pojasnilo vlad zato velik banka jesti kot,0,0,1,3,1,-1
minister fota medio noveti vsebovati,0,1,0,3,1,-1
jesti tudi uraden pomoč poleg pa jesti eu grški gospodarstvo jesti tudi uraden ciper uraden zaprositi pred ta,0,1,0,2,0,0
španija pa jesti za pomoč zaprositi tudi ciper zaprositi unija za finančen odpisati diplomat jesti minul teden prevzeti šestmesečen predsedovanje,0,1,0,4,0,1
svetovalen hiša berger in oliviera,0,1,0,3,1,-1
rolanda berger in wyman biti v,0,1,0,3,1,-1
biti pomoč dobiti irska in,0,1,0,2,0,0
dobiti grčija in portugalska,0,1,0,2,0,0
irska in tuditi ciper,0,1,0,2,0,0
sklad efsf ozir pomoč biti,0,1,0,3,1,-1
pomoč najprej zaprositi ki jesti naj biti ciper zaprositi za posojilo milijard ever jesti ciper namreč,0,1,0,4,0,1
in asfalten baza pri senožeča ter in asfalten baza pri senožeča ter,1,0,0,3,1,-1
polizdelek lastnik rent jesti primor dušan črnigoj kobala dušan primor dušan črnigoj kobala t kompenzacija graditi hiša in črnigojev hči,0,1,0,2,0,0
posreden velik lastnik dušan črnigoj valter velik lastnik primor črnigoj valter kobala valter kobala črnigoj rubežnik biti posreden velik lastnik dušan črnigoj valter velik lastnik primor črnigoj valter kobala rudis pogajati že dodajati pri najbolj bremeniti prav in nekdanji finančnik,0,1,0,2,0,0
rubež pa v označevati rubež podjetje hči jasna v sporen prodaja,1,0,0,3,1,-1
sporen prodaja gradben trgovina terr slednji biti kupiti in del pozneje jesti o prodaja pogajati že črnigoj,0,1,0,2,0,0
stečajen upravitelj rudolfa hramec sicer stečajen upravitelj primor hramec sicer čakati,0,1,0,2,0,0
predvsem na in v ljubljana nepremičninski posel na in balkan,1,0,0,2,0,0
obati in v najvelik posel,1,0,0,2,0,0
najti zaposlitev v na ig,0,1,0,2,0,0
v kig na kateri lastnik,1,0,0,2,0,0
kateri lastnik biti mohar in matjaž,0,0,1,2,0,0
marko mohar in satler slednji,0,0,1,2,0,0
finance fota tv p neuraden,0,1,0,3,1,-1
na obati in velik del,1,0,0,2,0,0
načrt o oblikovanje državen holding velik načrt o oblikovanje državen holding velik vlada glede oblikovanje državen holding jesti,0,1,0,2,0,0
zgodba glede dokapitalizacija jesti kompleksen zgodba glede dokapitalizacija ljubljanski banka nlb biti uspešen pri kak jesti glede nedaven dokapitalizacija kompleksen fota glede nedaven dokapitalizacija jesti po njegov v primer dokapitalizacija reagirati edin smiseln,0,1,0,2,0,0
pogovor za današnji agencija za,0,1,0,3,1,-1
upravljanje kapitalski naložba aukn jesti po jesti dejati jesti v primer ubrati z oblikovanje pravi tudi da biti biti le k se jesti postaviti kot branika zagnati stroj blatenje morama pa,1,0,0,4,0,1
biti uspešen pri krediten banka maribor nov krediten banka se biti,0,1,0,3,1,-1
kompleksen fota žibert zgodba glede,0,0,1,3,1,-1
imenovati nekdanji guverner slovenija france arhar nekdanji guverner banka france arhar za guverner banka slovenija arhar za strokovnjak o lb biti skupaj s biti znan arhar vlad jesti imenovati nekdanji guverner slovenija france arhar nekdanji guverner banka france arhar za guverner banka slovenija arhar za strokovnjak seja vlada biti skupaj s in pravnik jesti pojasnilo izjava od minister pričakovati že september jesti oda 1 junij letos direktor banka slovenija direktor združenje banka pred ta mož banka unicrediti med leto jesti biti guverner slovenija nato biti guverner banka nato pa,0,1,0,3,1,-1
reševati spor o arhar biti zagreb pbz proti banka in nov zavrniti tožba proti in nlb poplačilo hrvaški varčevalec od tožen,0,1,0,2,0,0
zagrebški banka in banka zagreb pbz in privreden banka pbz proti ljubljanski privreden banka zagreb proti ljubljanski banka,0,1,0,2,0,0
ljubljanski banka in ljubljanski banka proti lb in tožba jesti,0,1,0,2,0,0
v sobota v dogovoriti slovenski zunanji,1,0,0,3,1,-1
ki teči na kota jesti,1,0,0,3,1,-1
let 2003 vodilo biti jesti,0,1,0,3,1,-1
o nasledstvo nekdanji po uveljavitev in obveznost nekdanji prebrati tudi,0,1,0,3,1,-1
prebrati tudi sodišče jesti zavrniti,0,1,0,3,1,-1
jesti poudariti predsednik hribar milič poudariti predsednik gzs milič joža,0,1,0,3,1,-1
slovenija potrebovati pomoč le v primer,0,1,0,3,1,-1
gospodarski zbornica slovenija hribar milič hribar milič hribar milič fota prv mož jesti uvod spomniti jesti dejati milič skrb tudi,0,0,1,3,1,-1
hribar milič fota garbajs kota jesti,0,0,1,3,1,-1
da biti napoved banka za obnova,0,1,0,3,1,-1
obnova in razvoj da se,0,1,0,3,1,-1
hiša oster do kot do nekateri poti ko jesti v petek doleteti da biti za značilen prezadolžen podjetje mnenje moodys o jesti tajnikar hud kriza v v primer zunanji znižati boniteten ocena in sicer padec boniteten ocena znižati boniteten ocena znižanje boniteten ocena znižati boniteten ocena,0,1,0,2,0,0
strinjati z mnenje o slovenija tak ocena kazati tudi na biti boniteten hiša ter standard na a jesti med razlog v torek jesti zaradi padec boniteten,0,1,0,2,0,0
kot biti in italija ko ta za in italija ne,0,1,0,2,0,0
biti španija in še bistven za španija in ne veljati,0,1,0,2,0,0
konkurenca po zakon d jesti,0,1,0,3,1,-1
znižanje boniteten ocena banka skupina telekdo slovenija in banka ki boniteten ocena obveznica banka abanka,0,1,0,2,0,0
skupina triglav sava in telek r ter sava,0,1,0,2,0,0
pozavarovalnica sava in slovenija masten sava in telek masten nujen znižati boniteten ocena slovenija in sid boniteten ocena telekdo in sid banka,0,1,0,2,0,0
hiša moodys ter poor s državen dolg p pa factor banka p jesti,0,1,0,2,0,0
sid banka vip in factor,0,1,0,2,0,0
abanka vip in banka s,0,1,0,2,0,0
s ta triglav in pozavarovalnica,0,1,0,2,0,0
jesti poročilo o sistem poleg jesti ta ob,0,0,1,3,1,-1
sum oškodovanje jesti poročilo že biti ves enak jesti poročilo o tudi že pogovarjati fišer in jesti pa o ta že ob ta dejati v posamezen,0,0,1,4,0,1
sistem prejeti oda slovenija kota prejeti oda banka kota biti sum oškodovanje slovenija jesti poročilo oškodovanje banek jesti poročilo o poleg podatek slovenija potekati tudi poleg podatek banka potekati tudi skrben predmet kritika tudi slovenija češ kritika tudi banek češ da nadzornik iz slovenija biti nedaven iz banka biti nedaven sporočiti,0,1,0,3,1,-1
pogovarjati gorenek in državen sekretarka,0,0,1,4,0,1
skrben pregled guverner slovenija marko kranjec pregled guverner banka marko kranjec jesti guverner banka slovenija kranjec jesti z,0,1,0,3,1,-1
ocena pregled v ljubljanski banka biti,0,1,0,3,1,-1
potekati tudi v krediten banka maribor nov krediten banka nkbm in abanka krediten banka maribor in abanka kriminalističen preiskava v med drug poudariti,0,1,0,3,1,-1
maribor nkbm in nujen jesti,0,1,0,3,1,-1
tudi v drug za povrnitev kredibilnost bolj kot kdaj prednosten nalog jesti tudi izvedba padec v pa jesti biti kot da biti imeti alternativa pri da jesti lani po revidiran slab finančen situacija poudarjati in,0,1,0,2,0,0
jesti navesti hren zarada jesti povzeti hren z,0,0,1,3,1,-1
raven fota urad jesti popravilo,0,1,0,3,1,-1
jesti poudariti vasel direktor vasel direktor n finančen,0,0,1,3,1,-1
na jesenski napoved rs za makroekonomski,0,1,0,3,1,-1
zmanjšati fota vlad in parlament različen fota kota jesti dejati,0,1,0,3,1,-1
in on jesti soglasen sprejeti z,0,1,0,3,1,-1
bdp poslanka slovenija alenka bratušek poslanka pozitiven alenka bratušek jesti poslanka pozitiven slovenija bratušek jesti poudariti,0,1,0,3,1,-1
jesti mnenje predsednik igor lukšič odgovoren mnenje predsednik sd lukšič odgovoren vlada še mena n padec,0,1,0,3,1,-1
predsedstvo stranka na morati človek,1,0,0,3,1,-1
rast vlad pahorje jesti delati nedosleden ukrep vlada pahorje ter političen,0,0,1,3,1,-1
o kateri jesti opozarjati že oda,0,1,0,3,1,-1
biti sporočiti iz lista n,0,1,0,3,1,-1
izpostaviti v zaenkrat še biti,0,1,0,3,1,-1
šele sedmi jesti po lanskoleten konkurenčnost 20122013 se jesti na biti se za uvrstiti ciper 58,0,1,0,2,0,0
svetoven gospodarski forum jesti objaviti poročilo sektor raziskava temelj na javen biti poudariti v švica se,0,1,0,3,1,-1
lestvica jesti ohraniti na tretji,0,1,0,4,0,1
jesti švedska spodriniti švedska jesti,0,1,0,4,0,1
slediti pa on in nemčija,0,1,0,4,0,1
on nizozemski in v prvi,0,1,0,4,0,1
še zda britanija hongkong,0,1,0,4,0,1
velik britanija in japonska,0,1,0,4,0,1
hongkong in zda,0,1,0,4,0,1
močen zadolžen jesti tak z mesto in 96 mesto,1,0,0,2,0,0
mesto s 45,0,1,0,2,0,0
mesto pa s 47 za slovenija uvrstiti 58 mesto,1,0,0,2,0,0
mesto jesti medtem ohraniti,0,1,0,3,1,-1
med članica biti se za,0,1,0,3,1,-1
mesto 60 mesto,0,1,0,2,0,0
mesto 62 mesto,0,1,0,2,0,0
mesto 71 mesto,0,1,0,2,0,0
mesto 78 mesto,0,1,0,2,0,0
podjetje v srednji se jesti letos podjetje v srednji ki on podjetje v srednji znajti poljski naften,1,0,0,3,1,-1
seznam fota vodilen položaj med,0,1,0,3,1,-1
sledeti skupina 46 mesto,0,1,0,4,0,1
mesto skupina 128 mesto,0,1,0,4,0,1
mesto skupina slovenski elektrarna 133,0,1,0,4,0,1
mesto 172 mesto,0,1,0,4,0,1
mesto skupina 185 mesto,0,1,0,4,0,1
mesto skupina i 204,0,1,0,4,0,1
mesto skupina slovenija 270 skupina telek 270 mesto,0,1,0,4,0,1
mesto holding 280,1,0,0,4,0,1
mesto industrija jeklo 289,0,1,0,4,0,1
mesto slovenija 309 mesto spar 309 mesto,0,1,0,4,0,1
mesto slovenija 318 mesto omv 318 mesto,0,1,0,4,0,1
mesto 356 mesto,0,1,0,4,0,1
mesto skupina 377 mesto,0,1,0,4,0,1
mesto skupina energija 424,0,1,0,4,0,1
mesto in 482 mesto,0,1,0,4,0,1
sledeti on ki on,1,0,0,3,1,-1
družba in iz kateri,1,0,0,3,1,-1
mol ter češki deloitti jesti,0,1,0,4,0,1
češki škod jesti pripraviti tudi,0,1,0,3,1,-1
družba uvrstiti tudi 43 mesto,0,1,0,4,0,1
uvrstitev lani doseči triglav šesti mesto regija poleg triglav biti se,0,1,0,4,0,1
in sicer slovenica 29,0,1,0,4,0,1
mesto maribor 31 mesto zavarovalnica 31 mesto,0,1,0,4,0,1
mesto in 33 mesto,0,1,0,4,0,1
propadel lastnik znova iskati kupec s skupinski prodaja nadzoren svet da se delnica začeti prodajati skupaj odstoten lastnica jesti nadzornik skupen prodaja delnica malenković jesti sporazum glede prodaja v velik možen prodaja odstotek biti tokrat pristopiti se prodajen postopek izvesti ob sodelovanje sporazum o prodaja ne biti samostojen ali menjavati delnica č londonski tudi zadnji prodaja v trije sporazum o prodaja prenehati veljati večinski delež v prodajati že lani jesti za delnica ponujati 221 ever,0,1,0,3,1,-1
tudi nadzoren svet laško nadzoren nadzoren svet pivovarna nadzoren svet nadzoren svet laško se strinjati nadzoren svet pivovarna se strinjati s nadzoren svet laško jesti soglašati nadzoren svet pivovarna jesti soglašati malenković upravi laško ki upravi pivovarna ki jesti družba iz skupina k skupen odstotek delnica laško ki delnica pivovarna ki jesti,0,1,0,3,1,-1
nadzoren svet pivovarna malenković upravi delnica mercator jesti dejati,0,0,1,4,0,1
jesti skupaj z in radenski biti tokrat pristopiti union ki odstoten lastnica nov ljubljanski,0,1,0,3,1,-1
z union in odstoten abanka banek koper,0,1,0,4,0,1
odstoten lastnica krediten banka maribor nov krediten banka gorenjska banka,0,1,0,4,0,1
banka maribor banka prv,0,1,0,4,0,1
gorenjska banka faktor faktoring faktor faktoring abanka,0,1,0,4,0,1
faktoring beograd radenski,0,1,0,4,0,1
radenski koper hypa radenski banek hypa banka,0,1,0,4,0,1
banek koper banka nfd,0,1,0,4,0,1
hypa banka 1 delniški investicijski,0,1,0,4,0,1
investicijski sklad celje in nfd sklad banek in nfd holding,0,1,0,4,0,1
banek celje in holding kota,0,1,0,4,0,1
ing banka iz fota reuters,1,0,0,3,1,-1
london fota pogodben stranka biti,0,1,0,3,1,-1
biti gospodarski rast zabeležiti šele let o gospodarski aktivnost obseg brut glede gospodarski aktivnost biti še slab komisija jesti maj napovedati da članica tudi pa biti,0,1,0,2,0,0
predstavitev poročiti v dejati guverner banka,1,0,0,3,1,-1
ljubljana dejati guverner slovenija marko kranjec dejati guverner banka marko kranjec guverner banka slovenija kranjec jesti jesti dejati prejšnji napoved,0,1,0,3,1,-1
znižanje bdp grosar podpredsednik grosar podpredsednik in predsednik upraven ozs in predsednik odbor ozs napoved predsednik upraven odbor napoved banka slovenija,0,0,1,3,1,-1
odstotek zbornica slovenija gzs gospodarski zbornica gzs ocenjevati gospodarski zbornica slovenija ocenjevati da,0,1,0,3,1,-1
gospodarski napoved za s podroben podatek,0,1,0,3,1,-1
se po število 765 banka imeti 25 banka milijarda ever jesti po število,0,1,0,2,0,0
med 27 članica imati namreč največ banka v imeti nemčija da imeti v največ banka nemčija letošnji marec v skupaj 8018 finančen mesto v v ta devet banka v imeti obseg bilančen bančen sektor v kota predlagati,0,1,0,3,1,-1
v eu imeti in sicer eu največ banka t država pa imeti v velik britanija,0,1,0,4,0,1
jesti po naročilo komisija pripraviti poročilo,0,1,0,3,1,-1
imeti le še in sicer,0,1,0,2,0,0
ta primerjava voda kjer predstavljati,0,1,0,4,0,1
bdp sledeti s 799 odstotek,0,1,0,4,0,1
odstotek bdp in s 796 odstotek,0,1,0,4,0,1
zadnji mesto zaseda kjer predstavljati,0,1,0,2,0,0
v nemčija britanija francija,0,1,0,4,0,1
velik britanija ali španija,0,1,0,4,0,1
francija ali najvelik med,0,1,0,4,0,1
predstavitev priporočiti poudariti v banka,0,0,1,3,1,-1
zadovoljen v evropski banka se,0,1,0,3,1,-1
bančen sistem v biti zaživeti prihodnji dogovoriti voditelj članica enoten nadzor voditelj članica biti doseči dogovor evroobmočje voditelj pozivati k tak do ves članica ki biti celovitost notranji trg država potrditi ves članica hollanda jesti nov večleten proračun preučiti se evroobmočje z institucija sklepati pogodba,0,1,0,3,1,-1
kompromis med in francija predvidevati saj jesti biti skeptičen do enoten unija predsednik svet herman van predsednik evropski svet van rompuy jesti ta vprašanje odgovoriti rompuy fota,0,1,0,4,0,1
med nemčija in predvidevati da,0,1,0,4,0,1
čas predsednik komisija jos manuela predsednik evropski komisija manuela barrosa jesti,0,1,0,3,1,-1
da biti lahek kot osrednji nadzornik da biti v določen banka v naveza z nekolik drugačen,0,1,0,4,0,1
glasen biti biti britanija švedska,0,1,0,2,0,0
velik britanija in češka,0,1,0,2,0,0
švedska in ki biti,0,1,0,2,0,0
članica eu jesti zadovoljen z,0,0,1,4,0,1
čas fota voditelj biti zapisati rompuy fota gled drug steber,0,1,0,3,1,-1
podlaga zakonodajen predlog komisija njihov,0,1,0,3,1,-1
ki on za zdaj biti,0,1,0,4,0,1
